,review
336,"Low end is really good ,does bleed into the mids a lil bit but still really good. highs are subjuctive. i came from using a sennheiser and i am very much used to it's sound signature, the crystal clear mids and an avarage low end, but i cant find that sparkling trouble in this. I would say it has a good highs not awesome and the instrumental separation is good. Tonality is on the avarage, male vocals doesn't have that puch. The build quality is really good even though it's entirely plastic build its going to last you a long time. Comfort wise u will get used to it within a week or so. It pains a lil bit,at least for my ears ( my ear size is avarage, medium sized).  I'm using it with power amp music player their equrisers are really good . Overall i would say I'm happy with my purchase.
It's really nice if u could change ur delivery service from delhivery. Delivery could have been better."
337,"As a music addictor, this is one more in my collection. ❣️
It fits perfectly in my ears.
Sound feels far more better than the other earphones under 2000/- 
Just go for it. 
It feels comfortable in long run also. 
Bass is on the point. 
Treble could have been a little better.
Mids feels good. 
Overall, it's perfect for exercise session and gaming too!"
338,"Has a Punchy Bass, mids are Good, Highs are a bit harsh for me in some tracks (it's only with EDM but for Vocals, Rock, Pop, Jazz etc. They are perfect). I would say one of the best under 2k price bracket.
    Bass: 9
    Mids: 8
    Highs: 8.5
    Fit : 8.5
    Comfort :8
    Build: 8

... "
339,"After using it form 1 year 7 months my view on KZ ZSTx
    Pros: 1.Very clear seperation of instruments (4.6/5)
              2.Great vocals and mids (3.8/5)
              3.Professional Bass (4/5) Note: I am not a bass head
     Cons:1. Lows are poor 
               2. Cannot Upgrade to Bluetooth Modules because of pins.
               3. Only Fits for C-pin Upgraded cable"
340,KZ - ZST X
341,Nice earphones better than sony only thing is this cable and i want to know can we get bluethoot modules seperately for this type of earphones
342,"I was looking for a small earphone that I can carry anywhere and also something that sounds great. I was not exactly looking for an IEM, just a regular pair of earphones with a clean sound signature. I decided to buy this after seeing a few YouTube reviews as well as after reading a few reviews from this website. I was shocked as to how good they sound for the price. There is nothing more i can say  about these iem's, a lot of them have already explained in detail as to how amazing they are. All I'll say is if you are looking for an iem or a pair of great sounding earphones under 2k give this one a shot you won't be disappointed. They sound so much better than costlier earphones/headphones. Go for it! Am glad i did."
343,"My background: I am using open back sennhieser hd598sr headphones as my primary device for last 2 years.
Fitting: they don't fall off. They can hurt after using for 2+ hours but if you just remove them for 5 mins or so then your ears will go back to normal.
Sound: I feel soundstage is very cramped (but I am biased because of using open back headphones for so long). Using eq will definitely affect your audio. 
Cable: too long but that isn't a bad thing
Overall: they are good for price range"
344,"It sounds really amazing and the fit is so comforting. The bass is good and loud for which i thought it would supress the treble clarity but i was wrong. Both the bass and treble are clear. 
    The major drawback is the material quality."
345,KZ - ZST X
346,"I have used the ma390, Byron's, e10c's and plethora of other earphones under 2000 rupees and none of them had a soundstage as good as this one. You could literally hear every little detail coming out of different directions and it will appeal to you in every way if you are into psy music or deephouse music or basically any genre of music that requires a three dimensional soundstage. I've also noticed that the rha ma390 and the e10c has a better sound quality compared to these ""only"" if you are using a device that has a hifi dac, if you compare all three of them through a basic smartphone then kz's will beat every other earphone at this price segment. The rha's shine only when you use them through a laptop,an iPad or a hifi dac. I don't think everyone is an audiophile and not everyone carries a hifi audio device for their casual listening with them, but everyone would listen to their favourite genres through a smartphone and if you are someone who just uses a smartphone as a primary source for your audio then do not even look for other earphones in this price range, I sometimes think how can a 1800rs iem sound so good. It's a masterpiece."
347,"I was searching for replacement for my bose wired earphones as they were discontinued, bought rha ma390 and was disappointed in them and then I bought these and suprisingly these are better than my bose soundsport wired in every way. Perfect and really awesome. Just buy these and you will not be disappointed if you are not a hardcore audiophile."
348,KZ - ZST X
349,"The audio quality is excellent way better than what earphones offer at this price point. They even managed to deliver the product the next day after dispatch at my request since it was a birthday present, that too at a very short notice. I'm extremely pleased with the customer service.
    And about the product its way better than the conventional earphone. And if ur buying this product after having used earphones then please go for it...ur in for a surprise!!"
350,I am overly impressed by the sound profile and bass quality. The wiring and removable earpods just blew me away already...
351,Wasnt expecting this quality for something priced so low. All I can say that the review was so right.
352,"I got this pair after being recommended by a bunch of peers, the sound quality is undoubtedly phenomenal but they do get slightly uncomfortable for longer periods of listening. It's probably just my ears, but yeah. Planning on changing the eartips, hope it helps :3"
353,KZ - ZST X
354,KZ - ZST X
355,"If u ask me realted price when I randomly see agian today website actually I feel dispointed
    Same headphones aviable unbox in cheapest price..
    So I feel bad..
    Overall review is good .
    After few days I will post nice photos with tag..
Thanks for good service .."
356,"Since the KZ-ZST X was bought very recently, it has not been burnt-in properly as yet. Therefore, I cannot venture to ""review"" it. At the most, I can just record my first impression, which is very positive. The audio experience is rich and rewarding. As I put in more hours (and different genres of music), I can feel the IEM getting better. All in all, I can claim to be a satisfied customer. Thanks are due to Delwyn for recommending these earphones (the name ""KZ Acoustics"" was unheard of prior to that) to me."
357,"First time owned IEMs and pleasing sound. Right on budget and quality, and became my daily driver.
I am not an expert but sound is pleasing, and I don't feel  discomfort evern after listening long (couple of hours) which was not the case when using Sony WH1000xm3. 
It can be good and recommended start in IEM world."
358,"My expectations were not very high despite all the reviews and youtube videos. But after listening to them, they do sound really good for the price. The mids are crisp and bright and ideal for me. Since I edit youtube videos and podcast these are just the right thing for the job without breaking the bank. The build quality is a little delicate, that means you do have to take care of these."
359,"Sound quality is above average for the price. But, the starlined eartips are frankly a letdown. They don't quite form a perfect seal, and start feeling uncomfortable after awhile. Issues like these aren't expected from heaphones which would be worn for a long time for listening to music. If you place audio quality higher than general comfort, go for it.
Even though the build is completely plastic, it doesn't matter as it makes them light."
360,KZ - ZST X
361,KZ - ZST X
362,"The title is pretty self explanatory, but expanding on that, I read a few reviews before getting this pair, and while most of them praised the sound quality, I was very of it being a run off the mill Chinese earphones, but I really liked the colour and went ahead. Packing is amazing, very premium looking, cable looks a little flimsy but I don't mind much since it's replaceable. It has a very snug fit and feels very comfortable, and good noise isolation as well. Sound quality is not awesome but amazing considering it's price. Definitely better sound quality compared to its similar priced competitors, but what really surprised me was that the control button was not working out of the box. And adding to the disappointment was that the microphone was not working either. The other person just gets a blank sound output while on call. Tested it with both Android and iOS to be sure. Placed a replacement request with hpz, but I can't help saying I'm disappointed it didn't work at all."
363,I have returned my order due to deliver issues and soon i will reorder them on my new address
364,"its good ..... i am using it on sage. low end is fine but high end is higher  than expected . otherwise its very good affordable. 
    also I want to mention that I am very happy with your service."
365,"First of all I really want to thank @Headphonezone to make me understand the difference between earphones and iem's. Also, their wide range of superb collection to choose the best and suitable to one is pretty much easy work.
Now coming to the point, these are the best in class, under budget and ubercool pair of iem's. Build quality is very good. Cable is just awesome and yes it does not get tangled easily. The Bass is ok, as I like. Trebles are on point, high's and low's are good, mid's are superb. Overall a no-brainer choice if one wants to start their audiophile journey.
For sure, I am not going back to earphones. In future also I will only choose and buy iem's and that too only from this trusted place, one and only @Headphonezone. Thanks team, great work and keep it up."
366,Iam not received the product yet
367,Good
368,"After stalking your website for months, I finally made my first purchase.
First I would like to say thanks, thanks headphone zone.
Coming to this product, at first, I didn't like these maybe because of the ear tips, tips doesn't fit well, wasn't able to carry well, that's my first impression n it wasn't good at all.
Later I get used to my old tips and I start loving these.
If your budget is around 2k, then you can blindly go for this, (for me tips provided by them doesn't fit well, it might fit you! that's the only con.
If that sets you truly gonna love these.
Just a feedback
Please mention that it won't deliver with a carry case,
Someone in a review posted pic with a carry case, it might mislead people, even I thought I will get a case with this.
That's it,
Thanks once again."
369,"After listening on these i was blown away. I didn't knew such a small device can deliver such a great audio. Just don't expect much bass from it, bass is good but not that great."
370,"I have listened to this pair for about 30 hrs so far, having bought it on impulse, exclusively based on the top 10 headphones recommended by the headphone zone.
1- The difference in sound quality is very evident. Compared with sennheiser 275s, Audio technica Ath-100, and in some ways better than Bose qc35II.
2- I was able to discern instruments and sounds that I was unable to with the other earphones. Better instrument separation that I believe is the USP of IEMs.
3- Sound stage is also wider- in a quiet listening ambience when listening intently, I was able to place the instruments and vocals across a wider area and depth
4- The IEMs and the cable themselves are built well, but the connectors look like cheap plastic. I’m glad the cable can be separated and upgraded easily later on.
5- The inline mic sounds good enough for occasional calls, but I’d rather use these for music
6- Sound signature is balanced, no excessive bass that spills over. Vocals and mids are clear even at high volume"
371,"This is my first ever shopping experience on headphonezone, and it's been good. The IEMs are great as everyone else have already said in so many reviews. They're close to perfect with only one thing that's a little annoying and it's the quality of the eartips provided. I would have fallen in love with kz zst x the moment i put them on, if the eartips were a little better than they are."
372,Very enjoy to listen songs
373,"So I recently purchased the KZ ZSTX and while I'm impressed by the sound quality as well as the playful colors & build quality, the earphones have been extremely difficult to use for me owing to the fitting of the ear tips. 5 min into listening and the eartips start slipping off. Sadly it's because I haven't been able to get the best fit. Apart from this the overall sound quality is great, with impressive soundstage and imaging at this price point. Love the instrument separation. But I am just unsure of how much I'll be able to enjoy these to the fullest as the ear tips are not comfortable for me & don't fit me properly. Sad, as this was my first IEM purchase ever.
Anyway, the earphones look great, with neon-ish colours. Sound is pretty well balanced, although sometimes the highs can be slightly harsh, especially in rock/metal. Bass is how I wanted it - balanced and yet it flows nicely into the mids without overpowering them. All in all, a great earphone, except that for me the fit is just not correct."
374,Nice
375,"So I recently purchased the KZ ZSTX and while I'm by the sound quality as well as the playful colours & build quality, the earphones have been extremely difficult to use for me owing to the fitting of the eartips. 5 min into listening and the eartips start slipping off. Sadly it's because I haven't been able to get the best fit.  Apart from this the overall sound quality is great, with impressive soundstage and imaging at this price point. But I am just unsure of how much I'll be able to enjoy these to the fullest."
376,The design looks cool. The comfort is amazing too. and the sound quality is balanced
377,"Sound - the bass is just enough, the vocals are bright, and treble is enough to complement the bass and mids. Balanced signature, aptly described on the website. One thing that I found so beautiful in its sound was the sound stage. The IEM based design just amplifies the sound stage experience and noise cancellation is also awesome. Due to this, loudness is even enough at 60% output. I found them better than sony XB55Ap and RHA 390. 
Looks - amazing, urban, metrosexual. I bought the purple one. 
Fitting - they justify being IEMs and fit way better than any regular earphones. Feels like hugging the ear tight, and since they don't project out of the ear, it feels pretty balanced and light. Also the wire smoothly adjusts itself, due to around the ear loop design. No fatigue even after a continuous use of 4 hrs. 
Build quality - not as good as other features of this earphone, but definitely at par with a 1.5k earphone, and better than 1k ones.
Amazing product. THANK YOU HeadphoneZone for this!"
378,"Sound - the bass is just enough, the vocals are bright, and treble is enough to complement the bass and mids. Balanced signature, aptly described on the website. One thing that I found so beautiful in its sound was the sound stage. The IEM based design just amplifies the sound stage experience and noise cancellation is also awesome. Due to this, loudness is even enough at 60% output. I found them better than sony XB55Ap and RHA 390. 
Looks - amazing, urban, metrosexual. I bought the purple one. 
Fitting - they justify being IEMs and fit way better than any regular earphones. Feels like hugging the ear tight, and since they don't project out of the ear, it feels pretty balanced and light. Also the wire smoothly adjusts itself, due to around the ear loop design. 
Build quality - not as good as other features of this earphone, but definitely at par with a 1.5k earphone, and better than 1k ones.
Amazing product. THANK YOU HeadphoneZone for this!"
379,"Sound quality and clearity is good. You can listen to all the instruments of the song and amazing vocal clearity. Build quality is fine. Comfortable even for long hours. Bass could have been better, therefore you will feel an absence in some songs. Good rock songs."
380,KZ - ZST X
381,"The clarity in the sound is like wow... I am just entering the world of IEM and this product is a best place to start. The only problem I had was it couldn't be worn for a long time, say more than 3-4 hours because of the size. Best IEMs at this budget... I wish I knew this before"
382,KZ - ZST X
383,"KZ has really impressed me with their ZSTXs. Everything about them is simply awesome. The earphones are bright, highs are a bit pronounced but they also produce a very tight bass, which I won't say is exaggerated but just adequate. I have used quite a lot of budget earphones such as the Sennheiser CX180, CX275, Soundmagic e10s/c, JBL endurance run, c200si, t110, t210, Sony's MDR range and also some budget offerings from brands like Jays, Brainwavz and Audio Technica. None of these earphones provide the complete package that the KZs provide. Most of them are just either overly bassy which kinda causes muddying while others try to provide clarity while failing to provide a satisfactory bass response and hence sound flat. 
Now obviously they won't replace very premium iems and earphones in the market, but these do punch much above their weight when we take the cost into consideration. So I guess I would really recommend them. Some other plus points are that they are really very very comfortable and light and at the same time they look really funky as they look really good unlike conventional earphone or even iems do. 
The only downside is that they at times seem to be a tad bit brighter than it is necessary meaning that the highs may sound a bit screechy at high volumes but I wouldn't say that it's a deal breaker."
384,This IEM is for those who want to begin experiencing the immersive audio quality combined with bass.
385,KZ - ZST
386,Good One.
387,Best budget IEM
388,"Let me start by saying headphone zone team did a fantastic job from packaging to delivery. Now the IEM, this is the first IEM i have owned and must say its worth every penny. Its comfortable, nice noise cancellation, you'll be able to hear most of the details easily. Highs are kinda aggressive, with a little tweak in eq you can balance it. Built quality is also good, the wires look fragile though. Overall if you are in a budget and want to experience IEM this is the one you can put your money on."
389,It's my first IEM earphone. Nd it exceeds my expectations. I used sound magic E10C & Sennheiser 275. But this KZ ZSTx was above two in terms sound quality clarity bass response. It's perfect for beginners to explore into IEM Nd u won't disappoint.
390,"I must say these are the best sounding headphone in this cost . They are very comfortable to wear. The mic is also very good.
    The sharpness is high but you can adjust it with your equilizer. The base is not very high but it's more on balance side
    I highly recommend it"
391,KZ - ZST
392,The sound separation and details in the music/movie/series are too good. It has V shaped sound signature.
393,Good instrument segregation and adequate bass
394,KZ - ZST
395,"Firstly, great job on the delivery (delivered under 24hours) even in the present challenging times. Super impressed with the delivery, I would recommend Headphonezone just for their speedy delivery.
I got these after my Sennheiser cx275s (in my opinion the best under 2000Rs) went bad after 3 years of abuse. I have tried IEMs before and I felt it's meant for musicians on stage and not for casual listening besides good ones cost an arm and a leg. These KZ ZST's caught my attention while I was ordering a replacement cx275s and decided to give it a shot after reading a few reviews and small research, in a sentence these particular IEMs offer a very high value in terms of sound quality for the price. 
Pros.
1. Great sound quality for the price, sounds waay better than most premium single driver earphones. 
2. Wide sound stage feels like your listening to live music in a concert. Very good sound seperation, crisp highs and clear mids, can be a little too much to handle at max volume would recommend to use these between 50- 85% volumes.
3. Bass is 'felt' on these not 'forced' like in other earphones, it's hard to describe can only be experienced.
Cons
1. Plastic build and if you're stuck with the flashy purple ones, it looks cheap but it's durable enough.
2. The silicon ear tips are fine, not the best quality ones but can be replaced. The same can be said about the cables too not the best ones but can be replaced easily. 
3. The microphone quality is very mediocre, do not buy this if you make or answer alot of calls. 
4. Although these sound really really good, I don't think it will hold up well for everyday use. Best suited for sparse usage.

Above based on my casual setup - OnePlus 5t, Poweramp player, lossless FLAC audio format only. Genres I listen to from most to least Classic Rock, Hard Rock, Metal, Alternative Metal, Old school Hip-Hop, selective trance/EDM."
396,Cheapest and a must have essential for beginners audiophile.
397,Well balanced sound with perfect loudness levels. Also the bass is perfect i.e. not too high or too low. Fits perfectly into the ear and the nose isolation is pretty good too. Worth every penny. I'm neither an audiophile per se nor a bass head but these are probably the best ones I have had so far. And yes better than the Samsung AKGs that come with the galaxy series.
398,"I am using this earphones for almost more than a week now....I use it with my phone Samsung Galaxy note 8.
Audio is good but only if you listen at 60 to 70 percent of volume after that it becomes too loud and unbearable.
Bass is not punchy and loud but well audible and balanced..
 quite Balanced sound signature....with custom equaliser like I use in spotify can make the audio bit better and more balanced 
Overall good headphones considering the price."
399,"By looking the price u it looks cheap and didnt even think the sound will go great....but its not m,i give a 5star in the sound, build in quality - i dont have to judge base on the price its balance...
overalll   dont judge by the price this inear is beast..."
400,KZ - ZST ek number earphone hai sound bhot mst hai trouble or bass acha hai bas kuch jada hi loud hai. Nice quality
401,"It's been a week of use, and I love these headphones for the crisp sound they provide across the spectrum of instruments. Not bass heavy, which is something I was looking for. The design is as good as it seems in the pictures, and the braided cable is really sturdy and does not seem like it'll give away anytime soon, even with rugged use. Another advantage I feel this has is that you can get the KZ cable separately if you do wear them out (available on Amazon though, not on this site). 

... "
402,my phone not use this earphones return request not accept replacement another earphones
403,The best sound i have heard at this price point.
404,"Fastest delivery in my life ever !! 
    Thanks to Headphone Zone Crew and Bluedart 😊
I am using this KZ gem in my Sony mo player... Also in my zoom recorder for my sound projects as monitor, oh yes for general monitoring this can be very well used.  Obviously not like it is in my HD280 Pro, but still, I can hear those fine details even before the proper burn in. Waiting to experience more 😁 and more by time... I would like to try this in a hi res player very soon....❤️❤️"
405,"I am not an audiophile but i could make out the difference from a regular earphone vs the KZ - ZST.. 
Will be a different experience for first time IEM. Bass was not felt in normal equalizer mode.. Since i like bass it was enough when i used a bass equalizer mode.
Also i listen to songs via my LG G7+ THINQ Quad dac which gives a great listening experience from these earphones.
A must have for those who want to explore into IEM segment.

... "
406,Good enough
407,"I'm not an audiophile expert. This is a decent earphone. The mic is decent. The modular design is nice. I can swap out for a bluetooth connector. Couldn't find the connector on headphonezone but there are options on amazon. The audio quality is pretty nice too. I wear this all day taking calls and listening to music. My ears don't hurt at all. I have only used cheap earphones all my life, so this was definitely a step up."
408,"Being a musician and a very skeptical person when it comes to earphones, I should say, never before have I been so satisfied with a pair of earphones. Worth every penny. 
    And also, cheers to headphone zone! This was my first purchase here and, the best in the business and my go-to-place for audio products from now on, nothing more to say :)"
409,"Being very skeptical person when it comes to earphones and headphones, I should say, never before have I been so satisfied with a pair of earphones. Worth every penny."
410,Worst service
411,KZ - ZST
412,"Getting a pair of earphones with hybrid (Dynamic + Balanced) drivers at this price point is probably a big deal ! You're getting some generous amount of instrument separation, clarity and wide sound stage for what you pay. Totally worth your money ! My only complaint is, the earphones are a bit towards the shrill side of sound out-of-the-box. That's the only reason me giving it a 4 star. Although it can be handled using an equaliser, it would have been really appreciated if the sound would have been truly balanced. Overall, this set of earphones gives the other ""big brand"" earphones a run for their money ! And hats off to the HeadphoneZone team for delivering the product to me within 2 days of placing order, even during these troubled times !"
413,Crystal clear sound vokal and bass are balance
414,The sound was too sharp and a bit low.
415,KZ - ZST
416,Amazing
417,Sound quality is excellent. Best IEM under Rs.2000
418,Just get a memory foam eartips. You're sorted.
419,They are simply amazing🔥
420,For 1700 bucks its supeb value for these IEMs. KZ is known for its sound quality. This one is no different. Because of their combination of 1dynamic driver and 1 balance armature the sound is great. It has a V sound signature. Pretty powerful and good sound stage. But I feel the V signature is a bit exaggerated. The highs and the lows are a bit exagerated and they kind of over shadow the mids. Im sure most of the people would love them. I personally love a more balanced sound. The wires are good. Mic is good. The eartips are a bit of a let down. But you can easily replace them with foam eartips for better isolation.
421,"It fits comfortably in ear, sound is good , clear bass and highs with acceptable details in mids. Overall value for money. In reasonable price"
422,"Works awesome upto volume level 70-75 %
Beyond that , it is no good."
423,KZ - ZST
424,KZ - ZST
425,Not satisfied with the quality of wire and there is no voice adjustment at wire.
426,"I have been using RHA-390U since past one year (the most satisfying purchase from HPZ)...At first when i just got KZ ZST i was very excited to check these out and compare with my rha 390u. 
After a week of the usage of kz zst i would like to declare the verdict that rha is the winner of this battle due to reasons like 
1. Lightweight and comfort giving design over heavy and bulky design of kz zst.
2. Indeed the kz zst produces more bass but the problem with them is it pains after few minutes of listening music whereas rha felt comfortable for longtime listening.
3. Vocals, mids, lows all are better in rha than these coz kz zst have an over powering bass.
4.The most important thing to be kept at the time of buying these earpiece (kz zst) is that it doesnt fits every ear size perfectly though it fitted me perfectly but my sister faced the issue with fitting."
427,"I wanted them to be the perfect earphones for me as I really banked on the reviews, no doubt they sound good but since they dont fit perfectly in my ears and I get earaches, I am not able to enjoy them ! Had them burned in for more than 50 hours and listen everyday, but still looking for better options. Sound quality is subjective and buying a pair of headphones or earphones just on other person's review or perspective may not be the perfect way of finding out which suits you better as your personal preferences may differ as in my case !
Still kudos to team Headphone zone for fast delivery. Keep it up."
428,"Amazing headphone. Even more amazing for the price. 
    The Bass and lows are brilliant, separated and well balanced. the sound signature is amazing."
429,"The earphones overall are decent. the sound quality is good. 
    Though plastic used seems a bit on the cheaper side, I would suggest buying memory foam earbuds I didn't like the default one.
    It comes with a one-year warranty if needed the replacement cable is available on this site (be careful while choosing the cable type)  
    But overall I would suggest for you to go for them at this price these are probably the best set to go for."
